ds,y
27-09-2022,83587559
28-09-2022,115098132
29-09-2022,171641115
30-09-2022,223318668
03-10-2022,190181511
04-10-2022,108423095
06-10-2022,67880130
07-10-2022,120002040
10-10-2022,79255978
11-10-2022,125773464
12-10-2022,65239891
13-10-2022,84845696
14-10-2022,52104162
17-10-2022,41261207
18-10-2022,57318958
19-10-2022,40387046
20-10-2022,68397571
21-10-2022,86075937
24-10-2022,20707092
25-10-2022,60611327
27-10-2022,56715467
28-10-2022,51348010
31-10-2022,34994151
01-11-2022,40710403
02-11-2022,26627766
03-11-2022,25842530
04-11-2022,99003627
07-11-2022,67831806
09-11-2022,122752329
10-11-2022,124169423
11-11-2022,93250736
14-11-2022,98580473
15-11-2022,49123547
16-11-2022,64996046
17-11-2022,45772691
18-11-2022,54369157
21-11-2022,60319068
22-11-2022,57836622
23-11-2022,74736942
24-11-2022,110160151
25-11-2022,76771472
28-11-2022,47234426
29-11-2022,57370817
30-11-2022,75150800
01-12-2022,58794481
02-12-2022,50332214
05-12-2022,54867545
06-12-2022,118700470
07-12-2022,73626545
08-12-2022,26523509
09-12-2022,64742478
12-12-2022,47484633
13-12-2022,67357811
14-12-2022,515723820
15-12-2022,166791398
16-12-2022,126725344
19-12-2022,70978218
20-12-2022,134972654
21-12-2022,69210822
22-12-2022,84371385
23-12-2022,87185371
26-12-2022,93261358
27-12-2022,69297538
28-12-2022,101478935
29-12-2022,90189533
30-12-2022,152322656
02-01-2023,48081381
03-01-2023,108858208
04-01-2023,127150341
05-01-2023,97595157
06-01-2023,96073516
09-01-2023,224378162
10-01-2023,109039325
11-01-2023,113799560
12-01-2023,82760483
13-01-2023,81144999
16-01-2023,76203775
17-01-2023,66561448
18-01-2023,40376482
19-01-2023,151598798
20-01-2023,51597026
23-01-2023,110363909
24-01-2023,107329586
25-01-2023,104380508
27-01-2023,140336474
30-01-2023,165341766
31-01-2023,108361076
01-02-2023,122646396
02-02-2023,109039158
03-02-2023,143726966
06-02-2023,675108185
07-02-2023,224333616
08-02-2023,135146676
09-02-2023,95732533
10-02-2023,71585105
13-02-2023,50407661
14-02-2023,50984495
15-02-2023,31730009
16-02-2023,82248551
17-02-2023,112014675
20-02-2023,152049838
21-02-2023,56554003
22-02-2023,94172202
23-02-2023,200373402
24-02-2023,134764686
27-02-2023,86209985
28-02-2023,67725048
01-03-2023,101315010
02-03-2023,40814192
03-03-2023,53189694
06-03-2023,48641336
08-03-2023,34888541
09-03-2023,39876831
10-03-2023,49809823
13-03-2023,54468617
14-03-2023,58565265
15-03-2023,58760946
16-03-2023,70627780
17-03-2023,79553023
20-03-2023,66231334
21-03-2023,50371395
22-03-2023,170527399
23-03-2023,54965463
24-03-2023,113503938
27-03-2023,73481124
28-03-2023,109833770
29-03-2023,95162411
31-03-2023,114439391
03-04-2023,115281750
05-04-2023,109358436
06-04-2023,87622817
10-04-2023,37645193
11-04-2023,36352340
12-04-2023,39172810
13-04-2023,38875654
17-04-2023,35501339
18-04-2023,27942624
19-04-2023,28209620
20-04-2023,20160099
21-04-2023,326277787
24-04-2023,88279995
25-04-2023,37745399
26-04-2023,169158349
27-04-2023,317650440
28-04-2023,95346249
02-05-2023,78645995
03-05-2023,82283911
04-05-2023,96883916
05-05-2023,59309955
08-05-2023,26422235
09-05-2023,31986884
10-05-2023,101392533
11-05-2023,202578532
12-05-2023,74270136
15-05-2023,69507856
16-05-2023,182466634
17-05-2023,112361973
18-05-2023,47696869
19-05-2023,49912293
22-05-2023,35838782
23-05-2023,33836036
24-05-2023,77537344
25-05-2023,149531180
26-05-2023,78262217
29-05-2023,86663626
30-05-2023,45601346
31-05-2023,101093940
01-06-2023,39538257
02-06-2023,30962188
05-06-2023,34807393
06-06-2023,35549017
07-06-2023,218120279
08-06-2023,135736706
09-06-2023,99974916
12-06-2023,94726837
13-06-2023,168436075
14-06-2023,344314076
15-06-2023,110857729
16-06-2023,70611505
19-06-2023,60944546
20-06-2023,76398916
21-06-2023,204460640
22-06-2023,178616430
23-06-2023,121876136
26-06-2023,121102250
27-06-2023,146099646
28-06-2023,0
30-06-2023,67694572
03-07-2023,113730513
04-07-2023,114988757
05-07-2023,52251221
06-07-2023,59174436
07-07-2023,44264999
10-07-2023,57873891
11-07-2023,26691845
12-07-2023,36718376
13-07-2023,54894524
14-07-2023,25205602
17-07-2023,164308131
18-07-2023,226580793
19-07-2023,214414336
20-07-2023,78672776
21-07-2023,182052309
24-07-2023,201076327
25-07-2023,83289856
26-07-2023,432809258
27-07-2023,349303652
28-07-2023,105874945
31-07-2023,167830357
01-08-2023,53341718
02-08-2023,122998245
03-08-2023,78116800
04-08-2023,153831069
07-08-2023,136867134
08-08-2023,214190887
09-08-2023,60774896
10-08-2023,115379984
11-08-2023,53205798
14-08-2023,84213332
16-08-2023,81663655
17-08-2023,139610388
18-08-2023,59588288
21-08-2023,50792310
22-08-2023,211201955
23-08-2023,63294971
24-08-2023,61522894
25-08-2023,441374591
28-08-2023,476663058
29-08-2023,359055328
30-08-2023,190028023
31-08-2023,160750655
01-09-2023,723352196
04-09-2023,286251897
05-09-2023,135212639
06-09-2023,365620360
07-09-2023,277644136
08-09-2023,338142088
11-09-2023,630535186
12-09-2023,475634589
13-09-2023,262788174
14-09-2023,111299731
15-09-2023,525814217
18-09-2023,449336113
20-09-2023,164487454
21-09-2023,177823721
22-09-2023,298308392
25-09-2023,162564918
26-09-2023,507001428
27-09-2023,354380384
